"Book"	"name"	"author"	"language"	"wikiLink"	"authorName"	"authorWikiLink"
"http://dbpedia.org/resource/Rural_Rides"	"Rural Rides"	"http://dbpedia.org/resource/William_Cobbett"	"English"	"http://en.wikipedia.org/wiki/Rural_Rides?oldid=602236567"	"Cobbett, William"	"http://en.wikipedia.org/wiki/William_Cobbett?oldid=601048712"
"http://dbpedia.org/resource/Rural_Rides"	"Rural Rides"	"http://dbpedia.org/resource/William_Cobbett"	"English"	"http://en.wikipedia.org/wiki/Rural_Rides?oldid=602236567"	"William Cobbett"	"http://en.wikipedia.org/wiki/William_Cobbett?oldid=601048712"
"http://dbpedia.org/resource/Scandal_Takes_a_Holiday"	"Scandal Takes a Holiday"	"http://dbpedia.org/resource/Lindsey_Davis"	"English"	"http://en.wikipedia.org/wiki/Scandal_Takes_a_Holiday?oldid=593801065"	"Davis, Lindsey"	"http://en.wikipedia.org/wiki/Lindsey_Davis?oldid=606681923"
"http://dbpedia.org/resource/Scandal_Takes_a_Holiday"	"Scandal Takes a Holiday"	"http://dbpedia.org/resource/Lindsey_Davis"	"English"	"http://en.wikipedia.org/wiki/Scandal_Takes_a_Holiday?oldid=593801065"	"Lindsey Davis"	"http://en.wikipedia.org/wiki/Lindsey_Davis?oldid=606681923"
"http://dbpedia.org/resource/Service_of_All_the_Dead"	"Service of All the Dead"	"http://dbpedia.org/resource/Colin_Dexter"	"English"	"http://en.wikipedia.org/wiki/Service_of_All_the_Dead?oldid=605056228"	"Colin Dexter"	"http://en.wikipedia.org/wiki/Colin_Dexter?oldid=605135058"
"http://dbpedia.org/resource/Service_of_All_the_Dead"	"Service of All the Dead"	"http://dbpedia.org/resource/Colin_Dexter"	"English"	"http://en.wikipedia.org/wiki/Service_of_All_the_Dead?oldid=605056228"	"Dexter, Colin"	"http://en.wikipedia.org/wiki/Colin_Dexter?oldid=605135058"
"http://dbpedia.org/resource/Side_Jobs_(anthology)"	"Side Jobs"	"http://dbpedia.org/resource/Jim_Butcher"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Side_Jobs_(anthology)?oldid=603309892"	"Jim Butcher"	"http://en.wikipedia.org/wiki/Jim_Butcher?oldid=604981380"
"http://dbpedia.org/resource/Side_Jobs_(anthology)"	"Side Jobs"	"http://dbpedia.org/resource/Jim_Butcher"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/Side_Jobs_(anthology)?oldid=603309892"	"Butcher, Jim"	"http://en.wikipedia.org/wiki/Jim_Butcher?oldid=604981380"
"http://dbpedia.org/resource/Special_Illumination:_The_Sufi_Use_of_Humour"	"Special Illumination: The Sufi Use Of Humour"	"http://dbpedia.org/resource/Idries_Shah"	"English"	"http://en.wikipedia.org/wiki/Special_Illumination:_The_Sufi_Use_of_Humour?oldid=592690447"	"Idries Shah"	"http://en.wikipedia.org/wiki/Idries_Shah?oldid=601847088"
"http://dbpedia.org/resource/Special_Illumination:_The_Sufi_Use_of_Humour"	"Special Illumination: The Sufi Use Of Humour"	"http://dbpedia.org/resource/Idries_Shah"	"English"	"http://en.wikipedia.org/wiki/Special_Illumination:_The_Sufi_Use_of_Humour?oldid=592690447"	"Shah, Idries"	"http://en.wikipedia.org/wiki/Idries_Shah?oldid=601847088"
